timestep,peer_id,upload_rate,reliability,availability,latency,score,choked,selected
1,0,209.61,0.66,0.95,114.82,72.75,True,False
1,1,169.65,0.89,0.44,64.95,61.72,True,False
1,2,107.75,0.55,0.99,145.44,28.92,True,False
1,3,87.22,0.95,0.73,100.37,25.28,True,False
1,4,321.45,0.93,0.88,64.61,122.58,True,False
1,5,341.2,0.51,0.43,130.84,123.63,True,False
1,6,376.33,0.52,0.9,143.83,136.48,True,False
1,7,263.25,0.79,0.39,67.95,98.82,True,False
1,8,70.6,0.59,0.87,158.61,12.73,True,False
1,9,359.64,0.89,0.51,54.82,138.74,True,False
1,10,497.96,0.81,0.47,22.19,197.3,False,True
1,11,296.57,0.52,0.93,65.13,112.46,True,False
1,12,324.8,0.65,0.51,184.24,111.79,False,True
1,13,275.49,0.92,0.4,101.21,100.43,True,False
1,14,411.33,0.56,0.47,149.21,149.87,False,True
1,15,296.84,0.88,0.47,113.84,107.71,True,False
1,16,324.63,0.9,0.63,44.9,125.76,True,False
1,17,400.29,0.87,0.6,197.08,140.79,False,True
1,18,193.55,0.52,0.64,139.12,63.79,True,False
1,19,268.37,0.52,0.48,92.2,98.38,True,False
2,0,196.2,0.66,0.96,118.77,66.99,True,False
2,1,182.45,0.89,0.47,63.55,66.99,False,True
2,2,113.74,0.54,0.99,144.9,31.37,True,False
2,3,94.99,0.94,0.74,103.2,28.11,True,False
2,4,336.99,0.93,0.88,63.16,128.94,True,False
2,5,310.27,0.53,0.44,136.79,110.68,True,False
2,6,376.61,0.52,0.91,141.69,136.81,True,False
2,7,257.16,0.8,0.4,64.75,96.71,True,False
2,8,64.9,0.58,0.9,155.51,10.76,True,False
2,9,347.25,0.88,0.51,56.22,133.65,True,False
2,10,472.28,0.8,0.48,22.61,186.99,False,True
2,11,274.43,0.54,0.95,64.86,103.64,True,False
2,12,312.66,0.66,0.53,190.83,106.28,True,False
2,13,260.37,0.93,0.4,104.68,94.04,True,False
2,14,407.66,0.58,0.5,145.04,148.83,False,True
2,15,303.83,0.88,0.47,115.47,110.34,True,False
2,16,320.45,0.92,0.66,43.77,124.21,True,False
2,17,433.68,0.87,0.61,202.31,153.62,False,True
2,18,191.33,0.5,0.65,134.55,63.36,True,False
2,19,271.71,0.52,0.5,89.47,99.99,True,False
3,0,182.68,0.68,0.99,118.53,61.62,True,False
3,1,170.52,0.9,0.48,62.78,62.3,True,False
3,2,103.98,0.53,1.0,145.71,27.38,False,True
3,3,91.25,0.96,0.75,100.16,26.92,True,False
3,4,306.83,0.93,0.89,64.5,116.74,True,False
3,5,317.03,0.54,0.47,133.8,113.69,True,False
3,6,404.15,0.54,0.91,148.37,147.17,False,True
3,7,265.57,0.8,0.41,63.9,100.16,True,False
3,8,68.35,0.57,0.92,152.73,12.42,True,False
3,9,335.13,0.89,0.51,57.08,128.71,True,False
3,10,464.51,0.79,0.51,22.56,183.89,False,True
3,11,247.97,0.52,0.97,63.36,93.2,True,False
3,12,329.27,0.65,0.53,196.03,112.41,True,False
3,13,255.27,0.95,0.41,106.4,91.84,True,False
3,14,406.32,0.56,0.51,148.91,147.91,False,True
3,15,326.52,0.87,0.5,115.05,119.47,True,False
3,16,323.48,0.91,0.68,42.93,125.51,True,False
3,17,419.57,0.88,0.62,211.87,147.03,True,False
3,18,174.93,0.52,0.68,134.93,56.77,True,False
3,19,279.04,0.5,0.53,89.91,102.88,True,False
4,0,191.84,0.69,1.0,117.23,65.42,True,False
4,1,159.34,0.88,0.48,65.31,57.57,True,False
4,2,111.82,0.55,1.0,147.65,30.33,True,False
4,3,98.09,0.96,0.75,99.63,29.71,True,False
4,4,288.35,0.91,0.91,65.04,109.29,True,False
4,5,296.25,0.54,0.5,128.37,105.93,True,False
4,6,426.3,0.52,0.91,145.07,156.35,False,True
4,7,264.74,0.8,0.41,62.97,99.92,True,False
4,8,63.9,0.57,0.92,151.92,10.72,True,False
4,9,356.59,0.91,0.52,57.66,137.25,True,False
4,10,463.54,0.78,0.51,22.18,183.53,False,True
4,11,225.67,0.53,0.98,63.39,84.29,False,True
4,12,333.04,0.64,0.54,197.51,113.77,True,False
4,13,268.91,0.93,0.43,107.37,97.19,True,False
4,14,432.47,0.55,0.52,144.43,158.82,False,True
4,15,341.53,0.89,0.51,113.68,125.61,True,False
4,16,352.02,0.92,0.7,40.82,137.14,True,False
4,17,378.17,0.88,0.64,219.87,129.67,True,False
4,18,176.32,0.51,0.68,136.06,57.21,True,False
4,19,285.17,0.5,0.55,89.96,105.33,True,False
